,Unnamed: 0,uri,definition,type,atributo,labels
7321,7321,<http://localhost/503363>,2021-02-10,crime:obs,"['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_METRO_SIN_VIOLENCIA>', 23.0, 'Femenino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DEL_METRO_CON_Y_SIN_VIOLENCIA>']
8958,8958,<http://localhost/61019>,2019-04-27,crime:obs,"['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>']
13001,13001,<http://localhost/890504>,2022-09-01,crime:obs,"['<http://localhost/LESIONES_INTENCIONALES_POR_ARMA_DE_FUEGO>', 27.0, 'Masculino']",['<http://localhost/LESIONES_DOLOSAS_POR_DISPARO_DE_ARMA_DE_FUEGO>']
11905,11905,<http://localhost/815230>,2022-05-19,crime:obs,"['<http://localhost/HOMICIDIO_POR_ARMA_DE_FUEGO>', 26.0, 'Masculino']",['<http://localhost/HOMICIDIO_DOLOSO>']
111,111,<http://localhost/105418>,2018-12-28,crime:obs,"['<http://localhost/ROBO_A_REPARTIDOR_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_REPARTIDOR_CON_Y_SIN_VIOLENCIA>']
5938,5938,<http://localhost/413251>,2020-07-25,crime:obs,"['<http://localhost/AMENAZAS>', 73.0, 'Femenino']",['<http://localhost/DELITO_DE_BAJO_IMPACTO>']
10500,10500,<http://localhost/716098>,2021-12-21,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_EN_VIA_PUBLICA_CON_VIOLENCIA>', 34.0, 'Masculino']",['<http://localhost/ROBO_A_TRANSEUNTE_EN_VÍA_PÚBLICA_CON_Y_SIN_VIOLENCIA>']
7100,7100,<http://localhost/489836>,2021-01-19,crime:obs,"['<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_SIN_VIOLENCIA>', 47.0, 'Masculino']",['<http://localhost/ROBO_DE_VEHÍCULO_CON_Y_SIN_VIOLENCIA>']
10825,10825,<http://localhost/73703>,2019-10-23,crime:obs,"['<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_SIN_VIOLENCIA>', 50.0, 'Masculino']",['<http://localhost/ROBO_DE_VEHÍCULO_CON_Y_SIN_VIOLENCIA>']
12628,12628,<http://localhost/864237>,2022-06-06,crime:obs,"['<http://localhost/DDH_SIN_DATOS>', 'No especificado', 'Masculino']",['<http://localhost/HECHO_NO_DELICTIVO>']
9380,9380,<http://localhost/641637>,2021-09-03,crime:obs,"['<http://localhost/HOMICIDIO_POR_ARMA_DE_FUEGO>', 40.0, 'Masculino']",['<http://localhost/HOMICIDIO_DOLOSO>']
12889,12889,<http://localhost/881717>,2022-08-19,crime:obs,"['<http://localhost/ROBO_A_REPARTIDOR_SIN_VIOLENCIA>', 58.0, 'Masculino']",['<http://localhost/ROBO_A_REPARTIDOR_CON_Y_SIN_VIOLENCIA>']
3777,3777,<http://localhost/278553>,2020-01-20,crime:obs,"['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_METRO_SIN_VIOLENCIA>', 43.0, 'Masculino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DEL_METRO_CON_Y_SIN_VIOLENCIA>']
2450,2450,<http://localhost/211740>,2018-12-16,crime:obs,"['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>', 'No especificado', 'Masculino']",['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>']
1377,1377,<http://localhost/15995>,2019-01-10,crime:obs,"['<http://localhost/ROBO_DE_MOTOCICLETA_SIN_VIOLENCIA>', 50.0, 'Masculino']",['<http://localhost/ROBO_DE_VEHÍCULO_CON_Y_SIN_VIOLENCIA>']
7824,7824,<http://localhost/533718>,2021-03-29,crime:obs,"['<http://localhost/ROBO_A_REPARTIDOR_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_REPARTIDOR_CON_Y_SIN_VIOLENCIA>']
2170,2170,<http://localhost/196468>,2019-11-18,crime:obs,"['<http://localhost/DDH_RELACIONADAS>', 38.0, 'Femenino']",['<http://localhost/HECHO_NO_DELICTIVO>']
2397,2397,<http://localhost/209035>,2019-02-19,crime:obs,"['<http://localhost/ROBO_A_REPARTIDOR_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_REPARTIDOR_CON_Y_SIN_VIOLENCIA>']
6651,6651,<http://localhost/461560>,2020-11-28,crime:obs,"['<http://localhost/LESIONES_INTENCIONALES_POR_ARMA_DE_FUEGO>', 18.0, 'Masculino']",['<http://localhost/LESIONES_DOLOSAS_POR_DISPARO_DE_ARMA_DE_FUEGO>']
7940,7940,<http://localhost/541872>,2021-04-11,crime:obs,"['<http://localhost/PERDIDA_DE_LA_VIDA_POR_ENFERMEDAD>', 60.0, 'Masculino']",['<http://localhost/HECHO_NO_DELICTIVO>']
10719,10719,<http://localhost/729972>,2022-01-16,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_A_BORDO_DE_TAXI_PÚBLICO_Y_PRIVADO_CON_VIOLENCIA>', 'No especificado', 'Masculino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_TAXI_CON_VIOLENCIA>']
3667,3667,<http://localhost/273446>,2020-01-13,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_SALIENDO_DEL_BANCO_CON_VIOLENCIA>', 29.0, 'Masculino']",['<http://localhost/ROBO_A_CUENTAHABIENTE_SALIENDO_DEL_CAJERO_CON_VIOLENCIA>']
10121,10121,<http://localhost/691090>,2021-11-12,crime:obs,"['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_PESERO_COLECTIVO_CON_VIOLENCIA>', 26.0, 'Femenino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_MICROBUS_CON_Y_SIN_VIOLENCIA>']
7811,7811,<http://localhost/533454>,2021-03-29,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_SALIENDO_DEL_BANCO_CON_VIOLENCIA>', 40.0, 'Masculino']",['<http://localhost/ROBO_A_CUENTAHABIENTE_SALIENDO_DEL_CAJERO_CON_VIOLENCIA>']
237,237,<http://localhost/11039>,2019-05-24,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_SALIENDO_DEL_BANCO_CON_VIOLENCIA>', 61.0, 'Femenino']",['<http://localhost/ROBO_A_CUENTAHABIENTE_SALIENDO_DEL_CAJERO_CON_VIOLENCIA>']
13644,13644,<http://localhost/933901>,2022-11-02,crime:obs,"['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>']
8102,8102,<http://localhost/551331>,2021-04-25,crime:obs,"['<http://localhost/ROBO_A_CASA_HABITACION_CON_VIOLENCIA>', 43.0, 'Masculino']",['<http://localhost/ROBO_A_CASA_HABITACIÓN_CON_VIOLENCIA>']
9490,9490,<http://localhost/64942>,2019-02-13,crime:obs,"['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>']
3132,3132,<http://localhost/246209>,2019-05-25,crime:obs,"['<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_SIN_VIOLENCIA>', 42.0, 'Masculino']",['<http://localhost/ROBO_DE_VEHÍCULO_CON_Y_SIN_VIOLENCIA>']
4197,4197,<http://localhost/305504>,2020-02-25,crime:obs,"['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>']
1298,1298,<http://localhost/156818>,2019-07-15,crime:obs,"['<http://localhost/VIOLACION>', 45.0, 'Femenino']",['<http://localhost/VIOLACIÓN>']
11558,11558,<http://localhost/788046>,2022-04-06,crime:obs,"['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_METRO_SIN_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DEL_METRO_CON_Y_SIN_VIOLENCIA>']
3243,3243,<http://localhost/251740>,2019-04-10,crime:obs,"['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>', 'No especificado', 'Masculino']",['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>']
6373,6373,<http://localhost/44394>,2019-08-05,crime:obs,"['<http://localhost/ROBO_A_REPARTIDOR_SIN_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_REPARTIDOR_CON_Y_SIN_VIOLENCIA>']
13305,13305,<http://localhost/910912>,2022-09-30,crime:obs,"['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_PESERO_COLECTIVO_SIN_VIOLENCIA>', 59.0, 'Femenino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_MICROBUS_CON_Y_SIN_VIOLENCIA>']
8841,8841,<http://localhost/601455>,2021-07-06,crime:obs,"['<http://localhost/HOMICIDIO_POR_ARMA_DE_FUEGO>', 38.0, 'Masculino']",['<http://localhost/HOMICIDIO_DOLOSO>']
