,Unnamed: 0,uri,definition,type,atributo,labels
7292,7292,<http://localhost/501455>,2021-02-08,crime:obs,"['<http://localhost/LESIONES_INTENCIONALES_POR_ARMA_DE_FUEGO>', 43.0, 'Masculino']",['<http://localhost/LESIONES_DOLOSAS_POR_DISPARO_DE_ARMA_DE_FUEGO>']
1645,1645,<http://localhost/173957>,2019-05-20,crime:obs,"['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>']
10989,10989,<http://localhost/74920>,2019-12-20,crime:obs,"['<http://localhost/PRODUCCIÓN,_IMPRESIÓN,_ENAJENACIÓN,_DISTRIBUCIÓN,_ALTERACIÓN_O_FALSIFICACIÓN_DE_TÍTULOS_AL_PORTADOR,_DOCUMENTOS_DE_CRÉDITO_PÚBLICOS_O_VALES_DE_CANJE>', 45.0, 'Masculino']",['<http://localhost/DELITO_DE_BAJO_IMPACTO>']
7414,7414,<http://localhost/50862>,2019-07-31,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_SALIENDO_DEL_BANCO_CON_VIOLENCIA>', 32.0, 'Masculino']",['<http://localhost/ROBO_A_CUENTAHABIENTE_SALIENDO_DEL_CAJERO_CON_VIOLENCIA>']
11109,11109,<http://localhost/757622>,2022-02-19,crime:obs,"['<http://localhost/VIOLACION>', 19.0, 'Femenino']",['<http://localhost/VIOLACIÓN>']
10078,10078,<http://localhost/688426>,2021-11-11,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_A_BORDO_DE_TAXI_PÚBLICO_Y_PRIVADO_CON_VIOLENCIA>', 'No especificado', 'Masculino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_TAXI_CON_VIOLENCIA>']
13455,13455,<http://localhost/91977>,2019-09-13,crime:obs,"['<http://localhost/ROBO_A_REPARTIDOR_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_REPARTIDOR_CON_Y_SIN_VIOLENCIA>']
4995,4995,<http://localhost/352503>,2020-05-24,crime:obs,"['<http://localhost/LESIONES_INTENCIONALES_POR_ARMA_DE_FUEGO>', 34.0, 'Masculino']",['<http://localhost/LESIONES_DOLOSAS_POR_DISPARO_DE_ARMA_DE_FUEGO>']
5003,5003,<http://localhost/353051>,2017-04-17,crime:obs,"['<http://localhost/VIOLACION>', 20.0, 'Femenino']",['<http://localhost/VIOLACIÓN>']
2468,2468,<http://localhost/212342>,2010-09-25,crime:obs,"['<http://localhost/HOMICIDIOS_INTENCIONALES_(OTROS)>', 'No especificado', 'No especificado']",['<http://localhost/HOMICIDIO_DOLOSO>']
8993,8993,<http://localhost/61253>,2019-04-28,crime:obs,"['<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_SIN_VIOLENCIA>', 47.0, 'Masculino']",['<http://localhost/ROBO_DE_VEHÍCULO_CON_Y_SIN_VIOLENCIA>']
9400,9400,<http://localhost/643186>,2021-09-06,crime:obs,"['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_PESERO_COLECTIVO_CON_VIOLENCIA>', 'No especificado', 'Femenino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_MICROBUS_CON_Y_SIN_VIOLENCIA>']
9507,9507,<http://localhost/650592>,2021-09-08,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_EN_VIA_PUBLICA_CON_VIOLENCIA>', 'No especificado', 'Masculino']",['<http://localhost/ROBO_A_TRANSEUNTE_EN_VÍA_PÚBLICA_CON_Y_SIN_VIOLENCIA>']
10073,10073,<http://localhost/68819>,2019-07-08,crime:obs,"['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_METRO_SIN_VIOLENCIA>', 40.0, 'Femenino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DEL_METRO_CON_Y_SIN_VIOLENCIA>']
10384,10384,<http://localhost/70938>,2019-06-13,crime:obs,"['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>']
4406,4406,<http://localhost/317556>,2020-03-12,crime:obs,"['<http://localhost/ROBO_A_REPARTIDOR_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_REPARTIDOR_CON_Y_SIN_VIOLENCIA>']
11791,11791,<http://localhost/805900>,2022-05-06,crime:obs,"['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>']
4131,4131,<http://localhost/301852>,2020-02-21,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_SALIENDO_DEL_BANCO_CON_VIOLENCIA>', 40.0, 'Masculino']",['<http://localhost/ROBO_A_CUENTAHABIENTE_SALIENDO_DEL_CAJERO_CON_VIOLENCIA>']
11917,11917,<http://localhost/81600>,2019-03-21,crime:obs,"['<http://localhost/ROBO_DE_OBJETOS_DEL_INTERIOR_DE_UN_VEHICULO>', 24.0, 'Masculino']",['<http://localhost/DELITO_DE_BAJO_IMPACTO>']
2576,2576,<http://localhost/217635>,2019-12-20,crime:obs,"['<http://localhost/HOMICIDIO_POR_ARMA_DE_FUEGO>', 23.0, 'Masculino']",['<http://localhost/HOMICIDIO_DOLOSO>']
3075,3075,<http://localhost/243305>,2019-03-01,crime:obs,"['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_PESERO_COLECTIVO_CON_VIOLENCIA>', 45.0, 'Masculino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_MICROBUS_CON_Y_SIN_VIOLENCIA>']
91,91,<http://localhost/104597>,2018-01-04,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_SALIENDO_DEL_BANCO_CON_VIOLENCIA>', 'No especificado', 'Masculino']",['<http://localhost/ROBO_A_CUENTAHABIENTE_SALIENDO_DEL_CAJERO_CON_VIOLENCIA>']
1771,1771,<http://localhost/179867>,2019-01-04,crime:obs,"['<http://localhost/ENCUBRIMIENTO_POR_FAVORECIMIENTO_Y_RECEPTACIÓN>', 'No especificado', 'No especificado']",['<http://localhost/DELITO_DE_BAJO_IMPACTO>']
9049,9049,<http://localhost/616835>,2021-07-22,crime:obs,"['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_METRO_SIN_VIOLENCIA>', 28.0, 'Femenino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DEL_METRO_CON_Y_SIN_VIOLENCIA>']
4638,4638,<http://localhost/332301>,2020-04-04,crime:obs,"['<http://localhost/HOMICIDIO_POR_ARMA_DE_FUEGO>', 48.0, 'Masculino']",['<http://localhost/HOMICIDIO_DOLOSO>']
13971,13971,<http://localhost/98350>,2019-09-28,crime:obs,"['<http://localhost/LESIONES_INTENCIONALES_POR_ARMA_DE_FUEGO>', 15.0, 'Masculino']",['<http://localhost/LESIONES_DOLOSAS_POR_DISPARO_DE_ARMA_DE_FUEGO>']
7376,7376,<http://localhost/506718>,2021-02-17,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_SALIENDO_DEL_BANCO_CON_VIOLENCIA>', 40.0, 'Femenino']",['<http://localhost/ROBO_A_CUENTAHABIENTE_SALIENDO_DEL_CAJERO_CON_VIOLENCIA>']
1051,1051,<http://localhost/143451>,2019-01-15,crime:obs,"['<http://localhost/LESIONES_INTENCIONALES_POR_ARMA_DE_FUEGO>', 42.0, 'Masculino']",['<http://localhost/LESIONES_DOLOSAS_POR_DISPARO_DE_ARMA_DE_FUEGO>']
5181,5181,<http://localhost/364857>,2020-06-20,crime:obs,"['<http://localhost/HOMICIDIO_POR_ARMA_BLANCA>', 27.0, 'Masculino']",['<http://localhost/HOMICIDIO_DOLOSO>']
13552,13552,<http://localhost/927300>,2022-10-24,crime:obs,"['<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_CON_VIOLENCIA>', 34.0, 'Masculino']",['<http://localhost/ROBO_DE_VEHÍCULO_CON_Y_SIN_VIOLENCIA>']
10865,10865,<http://localhost/739359>,2022-01-28,crime:obs,"['<http://localhost/VIOLACION>', 39.0, 'Femenino']",['<http://localhost/VIOLACIÓN>']
11301,11301,<http://localhost/772329>,2022-03-21,crime:obs,"['<http://localhost/LESIONES_INTENCIONALES_POR_ARMA_DE_FUEGO>', 34.0, 'Masculino']",['<http://localhost/LESIONES_DOLOSAS_POR_DISPARO_DE_ARMA_DE_FUEGO>']
8639,8639,<http://localhost/587696>,2021-06-15,crime:obs,"['<http://localhost/ROBO_DE_MOTOCICLETA_CON_VIOLENCIA>', 24.0, 'Masculino']",['<http://localhost/ROBO_DE_VEHÍCULO_CON_Y_SIN_VIOLENCIA>']
6043,6043,<http://localhost/420371>,2020-09-23,crime:obs,"['<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_CON_VIOLENCIA>', 37.0, 'Masculino']",['<http://localhost/ROBO_DE_VEHÍCULO_CON_Y_SIN_VIOLENCIA>']
10909,10909,<http://localhost/743019>,2022-02-06,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_EN_VIA_PUBLICA_CON_VIOLENCIA>', 18.0, 'Femenino']",['<http://localhost/ROBO_A_TRANSEUNTE_EN_VÍA_PÚBLICA_CON_Y_SIN_VIOLENCIA>']
9945,9945,<http://localhost/680270>,2021-10-26,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_A_BORDO_DE_TAXI_PÚBLICO_Y_PRIVADO_CON_VIOLENCIA>', 80.0, 'Masculino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_TAXI_CON_VIOLENCIA>']
2604,2604,<http://localhost/219237>,2019-08-14,crime:obs,"['<http://localhost/VIOLACION>', 12.0, 'Femenino']",['<http://localhost/VIOLACIÓN>']
390,390,<http://localhost/116074>,2019-03-28,crime:obs,"['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_METRO_CON_VIOLENCIA>', 19.0, 'Femenino']",['<http://localhost/ROBO_A_PASAJERO_A_BORDO_DEL_METRO_CON_Y_SIN_VIOLENCIA>']
2069,2069,<http://localhost/191798>,2019-04-18,crime:obs,"['<http://localhost/VIOLENCIA_FAMILIAR>', 43.0, 'Femenino']",['<http://localhost/DELITO_DE_BAJO_IMPACTO>']
7996,7996,<http://localhost/54518>,2019-04-04,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_EN_VIA_PUBLICA_CON_VIOLENCIA>', 33.0, 'Masculino']",['<http://localhost/ROBO_A_TRANSEUNTE_EN_VÍA_PÚBLICA_CON_Y_SIN_VIOLENCIA>']
10192,10192,<http://localhost/69549>,2019-07-13,crime:obs,"['<http://localhost/ROBO_A_REPARTIDOR_CON_VIOLENCIA>', 'No especificado', 'No especificado']",['<http://localhost/ROBO_A_REPARTIDOR_CON_Y_SIN_VIOLENCIA>']
1349,1349,<http://localhost/158828>,2019-10-14,crime:obs,"['<http://localhost/ROBO_A_TRANSEUNTE_EN_VIA_PUBLICA_SIN_VIOLENCIA>', 63.0, 'Masculino']",['<http://localhost/ROBO_A_TRANSEUNTE_EN_VÍA_PÚBLICA_CON_Y_SIN_VIOLENCIA>']
6687,6687,<http://localhost/464111>,2020-12-02,crime:obs,"['<http://localhost/LESIONES_INTENCIONALES_POR_ARMA_DE_FUEGO>', 37.0, 'Masculino']",['<http://localhost/LESIONES_DOLOSAS_POR_DISPARO_DE_ARMA_DE_FUEGO>']
12325,12325,<http://localhost/843861>,2022-06-27,crime:obs,"['<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_CON_VIOLENCIA>', 32.0, 'Masculino']",['<http://localhost/ROBO_DE_VEHÍCULO_CON_Y_SIN_VIOLENCIA>']
