,atributo,type,uri,definition
14408,<http://localhost/ROBO_DE_OBJETOS>,crime:Denuncia,<http://localhost/63350>,2016-02-27 11:00:00
15084,<http://localhost/AMENAZAS>,crime:Denuncia,<http://localhost/67823>,2016-09-04 15:10:00
963,<http://localhost/VIOLENCIA_FAMILIAR>,crime:obs,<http://localhost/106453>,2016-07-22 22:45:00
10272,<http://localhost/ROBO_A_NEGOCIO_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/36269>,2016-04-30 18:30:00
16627,<http://localhost/VIOLENCIA_FAMILIAR>,crime:obs,<http://localhost/78109>,2016-01-12 18:30:00
4894,<http://localhost/ABUSO_SEXUAL>,crime:Denuncia,<http://localhost/132028>,2016-10-18 09:30:00
18646,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/9132>,2016-09-23 09:15:00
14787,<http://localhost/VIOLENCIA_FAMILIAR>,crime:obs,<http://localhost/65847>,2016-04-02 22:00:00
18020,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/8729>,2016-01-03 14:00:00
3607,<http://localhost/LESIONES_INTENCIONALES_POR_GOLPES>,crime:obs,<http://localhost/12371>,2016-05-08 16:45:00
12177,<http://localhost/DENUNCIA_DE_HECHOS>,crime:obs,<http://localhost/48706>,2016-01-12 12:00:00
7995,<http://localhost/FRAUDE>,crime:obs,<http://localhost/22233>,2016-10-17 12:00:00
15504,<http://localhost/LESIONES_CULPOSAS_POR_TRANSITO_VEHICULAR_EN_COLISION>,crime:Denuncia,<http://localhost/70786>,2016-12-17 09:10:00
3145,<http://localhost/DENUNCIA_DE_HECHOS>,crime:obs,<http://localhost/120549>,2016-12-08 11:00:00
9206,<http://localhost/USURPACIÓN_DE_IDENTIDAD>,crime:Denuncia,<http://localhost/29797>,2016-02-10 12:00:00
14279,<http://localhost/ROBO_DE_OBJETOS>,crime:obs,<http://localhost/62744>,2016-08-09 14:30:00
18314,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_INTENCIONAL>,crime:Denuncia,<http://localhost/89165>,2016-12-27 16:45:00
17072,<http://localhost/DENUNCIA_DE_HECHOS>,crime:Denuncia,<http://localhost/80998>,2016-10-19 12:00:00
13578,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_CON_VIOLENCIA>,crime:Denuncia,<http://localhost/58378>,2016-07-27 15:40:00
6518,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/14229>,2016-12-17 00:00:00
14267,<http://localhost/ROBO_DE_OBJETOS>,crime:obs,<http://localhost/62703>,2016-05-29 20:50:00
10134,<http://localhost/ROBO_A_CASA_HABITACION_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/3552>,2016-01-13 08:00:00
16262,<http://localhost/ROBO_DE_OBJETOS>,crime:Denuncia,<http://localhost/75729>,2016-03-18 08:30:00
1597,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/110454>,2016-03-15 15:00:00
18612,<http://localhost/FALSIFICACION_DE_TITULOS_AL_PORTADOR_Y_DOCUMENTOS_DE_CREDITO_PUBLICO>,crime:Denuncia,<http://localhost/91143>,2016-08-06 16:00:00
17232,<http://localhost/LESIONES_INTENCIONALES_POR_GOLPES>,crime:Denuncia,<http://localhost/82114>,2016-03-24 22:00:00
15113,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_CULPOSA_POR_TRÁNSITO_VEHICULAR_A_AUTOMOVIL>,crime:obs,<http://localhost/68000>,2016-12-09 17:00:00
1627,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_CULPOSA_POR_TRÁNSITO_VEHICULAR_A_AUTOMOVIL>,crime:obs,<http://localhost/110659>,2016-02-22 09:45:00
3656,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_CULPOSA_POR_TRÁNSITO_VEHICULAR_A_AUTOMOVIL>,crime:Denuncia,<http://localhost/123995>,2016-11-14 20:30:00
1248,<http://localhost/LESIONES_INTENCIONALES_POR_GOLPES>,crime:Denuncia,<http://localhost/108175>,2016-03-13 14:00:00
13547,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_CON_VIOLENCIA>,crime:obs,<http://localhost/58175>,2016-06-14 20:20:00
6280,<http://localhost/DESPOJO>,crime:Denuncia,<http://localhost/140675>,2016-10-25 08:00:00
7770,<http://localhost/FALSIFICACION_DE_TITULOS_AL_PORTADOR_Y_DOCUMENTOS_DE_CREDITO_PUBLICO>,crime:Denuncia,<http://localhost/20775>,2016-05-01 16:06:00
14477,<http://localhost/ROBO_DE_OBJETOS>,crime:obs,<http://localhost/63726>,2016-01-30 18:30:00
14445,<http://localhost/ROBO_DE_OBJETOS>,crime:obs,<http://localhost/63585>,2016-08-14 12:00:00
6178,<http://localhost/AMENAZAS>,crime:Denuncia,<http://localhost/140147>,2016-08-23 18:00:00
9049,<http://localhost/ROBO_DE_OBJETOS_DEL_INTERIOR_DE_UN_VEHICULO>,crime:obs,<http://localhost/28800>,2016-02-05 11:00:00
5375,<http://localhost/LESIONES_INTENCIONALES_POR_GOLPES>,crime:obs,<http://localhost/134965>,2016-07-02 02:30:00
4896,<http://localhost/ABUSO_SEXUAL>,crime:Denuncia,<http://localhost/132041>,2016-03-08 22:00:00
5708,<http://localhost/ROBO_A_TRANSEUNTE_EN_VIA_PUBLICA_CON_VIOLENCIA>,crime:Denuncia,<http://localhost/136828>,2016-04-19 00:20:00
9841,<http://localhost/FALSIFICACION_DE_TITULOS_AL_PORTADOR_Y_DOCUMENTOS_DE_CREDITO_PUBLICO>,crime:obs,<http://localhost/33660>,2016-06-05 19:00:00
590,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/103921>,2016-10-13 22:40:00
10996,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/41034>,2016-05-29 15:00:00
17433,<http://localhost/ROBO_A_TRANSEUNTE_EN_VIA_PUBLICA_CON_VIOLENCIA>,crime:obs,<http://localhost/83509>,2016-08-29 14:12:00
9676,<http://localhost/DENUNCIA_DE_HECHOS>,crime:Denuncia,<http://localhost/32667>,2016-05-08 12:00:00
15057,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/67668>,2016-05-12 16:00:00
17859,<http://localhost/ABUSO_DE_CONFIANZA>,crime:obs,<http://localhost/86128>,2016-12-02 06:45:00
4332,<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>,crime:Denuncia,<http://localhost/12847>,2016-02-18 15:45:00
19669,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_SIN_VIOLENCIA>,crime:obs,<http://localhost/97862>,2016-12-20 15:30:00
12980,<http://localhost/ROBO_A_CASA_HABITACION_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/54326>,2016-12-15 17:10:00
17056,<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/8090>,2016-09-16 18:00:00
9096,<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_CON_VIOLENCIA>,crime:Denuncia,<http://localhost/29141>,2016-02-26 19:35:00
13708,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/59133>,2016-06-03 09:00:00
12984,<http://localhost/ROBO_A_CASA_HABITACION_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/54367>,2016-02-04 13:40:00
8080,<http://localhost/LESIONES_CULPOSAS_POR_TRANSITO_VEHICULAR_EN_COLISION>,crime:Denuncia,<http://localhost/22759>,2016-07-15 15:30:00
8732,<http://localhost/FRAUDE>,crime:Denuncia,<http://localhost/2693>,2016-10-20 18:00:00
12252,<http://localhost/DESPOJO>,crime:Denuncia,<http://localhost/49193>,2016-11-03 12:00:00
9705,<http://localhost/DENUNCIA_DE_HECHOS>,crime:obs,<http://localhost/32884>,2016-05-25 12:00:00
19865,<http://localhost/ROBO_A_TRANSEUNTE_EN_VIA_PUBLICA_CON_VIOLENCIA>,crime:obs,<http://localhost/99076>,2016-12-03 06:09:00
19493,<http://localhost/ROBO_A_PASAJERO_/_CONDUCTOR_DE_VEHICULO_CON_VIOLENCIA>,crime:obs,<http://localhost/96724>,2016-06-01 17:10:00
18634,<http://localhost/FALSIFICACION_DE_TITULOS_AL_PORTADOR_Y_DOCUMENTOS_DE_CREDITO_PUBLICO>,crime:Denuncia,<http://localhost/91287>,2016-06-29 16:00:00
11801,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_INTENCIONAL>,crime:obs,<http://localhost/46341>,2016-04-16 01:50:00
15981,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_CON_VIOLENCIA>,crime:obs,<http://localhost/74001>,2016-05-02 21:30:00
