,atributo,type,uri,definition
4013,<http://localhost/ROBO_A_CASA_HABITACION_SIN_VIOLENCIA>,crime:obs,<http://localhost/126258>,2016-02-03 15:10:00
4079,<http://localhost/ROBO_A_CASA_HABITACION_SIN_VIOLENCIA>,crime:obs,<http://localhost/126681>,2016-02-24 10:30:00
17238,<http://localhost/LESIONES_INTENCIONALES_POR_GOLPES>,crime:Denuncia,<http://localhost/82130>,2016-04-27 18:20:00
2869,<http://localhost/VIOLENCIA_FAMILIAR>,crime:obs,<http://localhost/118691>,2016-02-20 11:30:00
6612,<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_CON_VIOLENCIA>,crime:Denuncia,<http://localhost/142832>,2016-03-08 17:00:00
8965,<http://localhost/ABUSO_SEXUAL>,crime:obs,<http://localhost/282>,2016-05-09 08:00:00
14119,<http://localhost/ROBO_DE_OBJETOS>,crime:obs,<http://localhost/61687>,2016-09-08 15:25:00
2251,<http://localhost/DESPOJO>,crime:obs,<http://localhost/11480>,2016-03-20 14:00:00
17816,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/85853>,2016-06-15 12:00:00
9636,<http://localhost/LESIONES_CULPOSAS_POR_TRANSITO_VEHICULAR_EN_COLISION>,crime:Denuncia,<http://localhost/3247>,2016-05-12 15:15:00
5460,<http://localhost/ROBO_A_NEGOCIO_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/13550>,2016-05-18 17:30:00
17107,<http://localhost/DENUNCIA_DE_HECHOS>,crime:obs,<http://localhost/81208>,2016-09-25 17:59:00
17844,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/86076>,2016-06-20 11:00:00
13567,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_CON_VIOLENCIA>,crime:obs,<http://localhost/58341>,2016-11-17 20:30:00
3476,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/122957>,2016-10-02 12:00:00
18317,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_INTENCIONAL>,crime:obs,<http://localhost/89190>,2016-04-18 00:10:00
13336,<http://localhost/ROBO_A_NEGOCIO_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/56961>,2016-01-30 17:30:00
19110,<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>,crime:Denuncia,<http://localhost/94403>,2016-02-08 08:00:00
17788,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/85698>,2016-07-14 12:00:00
3614,<http://localhost/AMENAZAS>,crime:Denuncia,<http://localhost/123738>,2016-05-09 19:07:00
10026,<http://localhost/NARCOMENUDEO_POSESION_SIMPLE>,crime:Denuncia,<http://localhost/34939>,2016-04-25 14:25:00
8710,<http://localhost/ROBO_DE_ACCESORIOS_DE_AUTO>,crime:Denuncia,<http://localhost/26802>,2016-04-02 16:00:00
19156,<http://localhost/ROBO_A_NEGOCIO_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/94632>,2016-11-09 20:40:00
12791,<http://localhost/FRAUDE>,crime:obs,<http://localhost/52791>,2016-09-19 17:00:00
16819,<http://localhost/VIOLENCIA_FAMILIAR>,crime:obs,<http://localhost/79375>,2016-07-05 17:30:00
19543,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_CON_VIOLENCIA>,crime:obs,<http://localhost/97087>,2016-03-23 23:30:00
10347,<http://localhost/ROBO_A_PASAJERO_/_CONDUCTOR_DE_VEHICULO_CON_VIOLENCIA>,crime:obs,<http://localhost/36796>,2016-05-19 20:08:00
12093,<http://localhost/DENUNCIA_DE_HECHOS>,crime:obs,<http://localhost/48142>,2016-05-04 17:00:00
18348,<http://localhost/DENUNCIA_DE_HECHOS>,crime:Denuncia,<http://localhost/89397>,2016-10-16 12:00:00
7505,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_INTENCIONAL>,crime:obs,<http://localhost/18921>,2016-12-29 08:00:00
16664,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/78388>,2016-08-28 13:00:00
4316,<http://localhost/ROBO_DE_ACCESORIOS_DE_AUTO>,crime:Denuncia,<http://localhost/128371>,2016-12-15 13:00:00
1885,<http://localhost/FRAUDE>,crime:obs,<http://localhost/112650>,2016-05-10 15:30:00
14517,<http://localhost/ROBO_DE_OBJETOS_DEL_INTERIOR_DE_UN_VEHICULO>,crime:obs,<http://localhost/64047>,2016-11-08 20:15:00
17174,<http://localhost/FRAUDE>,crime:Denuncia,<http://localhost/81699>,2016-10-19 14:40:00
16973,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/80362>,2016-02-20 19:30:00
13904,<http://localhost/ROBO_A_TRANSEUNTE_EN_VIA_PUBLICA_CON_VIOLENCIA>,crime:Denuncia,<http://localhost/60277>,2016-05-20 21:05:00
9345,<http://localhost/FRAUDE>,crime:obs,<http://localhost/3064>,2016-05-14 12:00:00
9666,<http://localhost/DENUNCIA_DE_HECHOS>,crime:Denuncia,<http://localhost/32629>,2016-01-25 12:00:00
2959,<http://localhost/VIOLENCIA_FAMILIAR>,crime:obs,<http://localhost/119220>,2016-12-18 17:30:00
11659,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/45474>,2016-01-19 23:45:00
7848,<http://localhost/FRAUDE>,crime:Denuncia,<http://localhost/21346>,2016-12-05 15:36:00
9542,<http://localhost/LESIONES_CULPOSAS_POR_TRANSITO_VEHICULAR_EN_COLISION>,crime:Denuncia,<http://localhost/3181>,2016-08-29 15:20:00
13116,<http://localhost/ROBO_A_NEGOCIO_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/55326>,2016-10-23 08:30:00
2086,<http://localhost/ROBO_A_CASA_HABITACION_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/113864>,2016-06-14 12:58:00
6664,<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/143139>,2016-10-06 05:30:00
2575,<http://localhost/ABUSO_DE_CONFIANZA>,crime:obs,<http://localhost/117>,2016-05-09 10:30:00
4662,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/130664>,2016-12-29 17:00:00
11474,<http://localhost/ABUSO_SEXUAL>,crime:Denuncia,<http://localhost/44350>,2016-08-20 20:00:00
12040,<http://localhost/DENUNCIA_DE_HECHOS>,crime:Denuncia,<http://localhost/47821>,2016-02-05 22:30:00
6159,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/140000>,2016-05-03 14:43:00
19624,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/97579>,2016-12-17 09:00:00
9609,<http://localhost/DENUNCIA_DE_HECHOS>,crime:obs,<http://localhost/32287>,2016-11-01 07:00:00
17633,<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_SIN_VIOLENCIA>,crime:obs,<http://localhost/84783>,2016-04-26 18:00:00
12438,<http://localhost/FALSIFICACION_DE_TITULOS_AL_PORTADOR_Y_DOCUMENTOS_DE_CREDITO_PUBLICO>,crime:Denuncia,<http://localhost/50346>,2016-09-18 15:00:00
693,<http://localhost/VIOLENCIA_FAMILIAR>,crime:obs,<http://localhost/104583>,2016-12-22 11:00:00
15144,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_CULPOSA_POR_TRÁNSITO_VEHICULAR_A_AUTOMOVIL>,crime:Denuncia,<http://localhost/68222>,2016-10-09 10:30:00
8896,<http://localhost/ROBO_DE_OBJETOS>,crime:Denuncia,<http://localhost/27829>,2016-07-28 21:30:00
15730,<http://localhost/ROBO_A_NEGOCIO_CON_VIOLENCIA>,crime:Denuncia,<http://localhost/72222>,2016-05-09 17:50:00
4330,<http://localhost/ROBO_DE_ACCESORIOS_DE_AUTO>,crime:Denuncia,<http://localhost/128468>,2016-09-20 06:30:00
19445,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_CULPOSA_POR_TRÁNSITO_VEHICULAR_A_AUTOMOVIL>,crime:obs,<http://localhost/965>,2016-05-24 20:00:00
5883,<http://localhost/ROBO_DE_OBJETOS>,crime:obs,<http://localhost/137934>,2016-11-10 21:00:00
11475,<http://localhost/ABUSO_SEXUAL>,crime:obs,<http://localhost/44350>,2016-08-20 20:00:00
4376,<http://localhost/ROBO_DE_OBJETOS>,crime:Denuncia,<http://localhost/128752>,2016-10-12 15:30:00
4297,<http://localhost/ROBO_A_TRANSEUNTE_EN_VIA_PUBLICA_CON_VIOLENCIA>,crime:obs,<http://localhost/128212>,2016-01-11 07:50:00
2451,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_INTENCIONAL>,crime:obs,<http://localhost/1162>,2016-12-14 18:00:00
5906,<http://localhost/ROBO_DE_OBJETOS_DEL_INTERIOR_DE_UN_VEHICULO>,crime:Denuncia,<http://localhost/138101>,2016-04-21 08:00:00
1740,<http://localhost/DENUNCIA_DE_HECHOS>,crime:Denuncia,<http://localhost/111478>,2016-10-25 19:00:00
3021,<http://localhost/ROBO_DE_ACCESORIOS_DE_AUTO>,crime:obs,<http://localhost/119712>,2016-01-25 01:30:00
18143,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/87938>,2016-12-11 09:00:00
6021,<http://localhost/VIOLENCIA_FAMILIAR>,crime:obs,<http://localhost/139001>,2016-04-28 19:30:00
14959,<http://localhost/ABUSO_SEXUAL>,crime:obs,<http://localhost/66981>,2016-04-15 08:50:00
925,<http://localhost/VIOLENCIA_FAMILIAR>,crime:obs,<http://localhost/106285>,2016-04-23 13:30:00
3062,<http://localhost/VIOLENCIA_FAMILIAR>,crime:Denuncia,<http://localhost/119944>,2016-06-01 21:30:00
11621,<http://localhost/ROBO_A_NEGOCIO_SIN_VIOLENCIA>,crime:obs,<http://localhost/4530>,2016-09-22 18:45:00
17131,<http://localhost/DESPOJO>,crime:obs,<http://localhost/81462>,2016-12-03 23:45:00
17069,<http://localhost/DENUNCIA_DE_HECHOS>,crime:obs,<http://localhost/80985>,2016-09-11 13:00:00
13609,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_SIN_VIOLENCIA>,crime:obs,<http://localhost/58501>,2016-12-09 09:20:00
2192,<http://localhost/ROBO_A_NEGOCIO_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/114443>,2016-02-17 08:49:00
12148,<http://localhost/DENUNCIA_DE_HECHOS>,crime:Denuncia,<http://localhost/48494>,2016-12-04 09:50:00
12801,<http://localhost/FRAUDE>,crime:obs,<http://localhost/52988>,2016-10-04 15:00
11655,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/45460>,2016-02-24 21:33:00
15175,<http://localhost/DENUNCIA_DE_HECHOS>,crime:obs,<http://localhost/68475>,2016-03-04 17:30:00
143,<http://localhost/ROBO_DE_OBJETOS>,crime:obs,<http://localhost/100983>,2016-03-29 07:25:00
10864,<http://localhost/USURPACIÓN_DE_IDENTIDAD>,crime:Denuncia,<http://localhost/40155>,2016-02-04 07:00:00
18251,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_CULPOSA_POR_TRÁNSITO_VEHICULAR_A_AUTOMOVIL>,crime:obs,<http://localhost/88777>,2016-07-03 18:40:00
18134,<http://localhost/AMENAZAS>,crime:Denuncia,<http://localhost/87898>,2016-08-21 00:30:00
16995,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/80505>,2016-04-08 11:00:00
11646,<http://localhost/AMENAZAS>,crime:Denuncia,<http://localhost/45432>,2016-10-23 14:56:00
3844,<http://localhost/FALSIFICACION_DE_TITULOS_AL_PORTADOR_Y_DOCUMENTOS_DE_CREDITO_PUBLICO>,crime:Denuncia,<http://localhost/125170>,2016-04-18 18:30:00
13459,<http://localhost/ROBO_A_PASAJERO_A_BORDO_DE_METRO_SIN_VIOLENCIA>,crime:obs,<http://localhost/57619>,2016-10-03 08:45:00
12554,<http://localhost/FRAUDE>,crime:Denuncia,<http://localhost/51129>,2016-10-10 12:00:00
9816,<http://localhost/FALSIFICACION_DE_TITULOS_AL_PORTADOR_Y_DOCUMENTOS_DE_CREDITO_PUBLICO>,crime:Denuncia,<http://localhost/33502>,2016-03-15 13:00:00
2962,<http://localhost/ABUSO_DE_CONFIANZA>,crime:Denuncia,<http://localhost/119262>,2016-02-06 10:00:00
4578,<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/130133>,2016-05-27 23:55:00
4008,<http://localhost/LESIONES_INTENCIONALES_POR_GOLPES>,crime:Denuncia,<http://localhost/126207>,2016-12-18 02:00:00
7095,<http://localhost/USURPACIÓN_DE_IDENTIDAD>,crime:obs,<http://localhost/16553>,2016-06-28 12:00:00
12296,<http://localhost/DESPOJO>,crime:Denuncia,<http://localhost/49496>,2016-12-25 18:00:00
15326,<http://localhost/DESPOJO>,crime:Denuncia,<http://localhost/69493>,2016-08-01 08:30:00
4432,<http://localhost/ROBO_DE_OBJETOS>,crime:Denuncia,<http://localhost/129107>,2016-11-10 12:00:00
319,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/10200>,2016-11-09 13:00
17366,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/83125>,2016-10-11 08:00:00
13382,<http://localhost/ROBO_A_PASAJERO_/_CONDUCTOR_DE_VEHICULO_CON_VIOLENCIA>,crime:Denuncia,<http://localhost/57189>,2016-10-24 21:15:00
19965,<http://localhost/ROBO_DE_ACCESORIOS_DE_AUTO>,crime:obs,<http://localhost/99643>,2016-09-22 10:10:00
14122,<http://localhost/ROBO_DE_OBJETOS>,crime:Denuncia,<http://localhost/61711>,2016-09-15 15:30:00
17566,<http://localhost/ROBO_DE_OBJETOS_DEL_INTERIOR_DE_UN_VEHICULO>,crime:Denuncia,<http://localhost/84404>,2016-03-28 11:00:00
5363,<http://localhost/LESIONES_INTENCIONALES_POR_GOLPES>,crime:obs,<http://localhost/134893>,2016-10-03 12:00:00
4140,<http://localhost/ROBO_A_NEGOCIO_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/127193>,2016-06-10 22:50:00
7365,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/18159>,2016-03-15 12:00:00
32,<http://localhost/ROBO_DE_OBJETOS>,crime:Denuncia,<http://localhost/100254>,2016-04-09 04:00:00
12016,<http://localhost/DENUNCIA_DE_HECHOS>,crime:Denuncia,<http://localhost/47708>,2016-08-08 01:44:00
9191,<http://localhost/USURPACIÓN_DE_IDENTIDAD>,crime:obs,<http://localhost/29721>,2016-08-24 14:00:00
12824,<http://localhost/FRAUDE>,crime:Denuncia,<http://localhost/53159>,2016-11-30 10:00:00
11342,<http://localhost/ABUSO_DE_CONFIANZA>,crime:Denuncia,<http://localhost/43565>,2016-01-21 11:56:00
15963,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_CON_VIOLENCIA>,crime:obs,<http://localhost/73867>,2016-10-04 21:30:00
2721,<http://localhost/ROBO_DE_OBJETOS_DEL_INTERIOR_DE_UN_VEHICULO>,crime:obs,<http://localhost/117894>,2016-04-22 23:00:00
5631,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_SIN_VIOLENCIA>,crime:obs,<http://localhost/136515>,2016-06-03 13:10:00
6977,<http://localhost/DENUNCIA_DE_HECHOS>,crime:obs,<http://localhost/1567>,2016-03-11 19:00:00
17862,<http://localhost/ABUSO_DE_CONFIANZA>,crime:Denuncia,<http://localhost/86147>,2016-09-03 09:00:00
12555,<http://localhost/FRAUDE>,crime:obs,<http://localhost/51129>,2016-10-10 12:00:00
17193,<http://localhost/FRAUDE>,crime:obs,<http://localhost/81855>,2016-01-29 13:09:00
2003,<http://localhost/LESIONES_CULPOSAS_POR_TRANSITO_VEHICULAR_EN_COLISION>,crime:obs,<http://localhost/113420>,2016-05-15 16:15:00
5762,<http://localhost/ROBO_DE_ACCESORIOS_DE_AUTO>,crime:Denuncia,<http://localhost/137240>,2016-08-04 08:00:00
11613,<http://localhost/AMENAZAS>,crime:obs,<http://localhost/45279>,2016-01-22 03:00:00
5021,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_CULPOSA_POR_TRÁNSITO_VEHICULAR_A_AUTOMOVIL>,crime:obs,<http://localhost/132890>,2016-04-04 16:40:00
16378,<http://localhost/ROBO_DE_OBJETOS_DEL_INTERIOR_DE_UN_VEHICULO>,crime:Denuncia,<http://localhost/76525>,2016-10-05 12:00:00
12365,<http://localhost/FALSIFICACION_DE_TITULOS_AL_PORTADOR_Y_DOCUMENTOS_DE_CREDITO_PUBLICO>,crime:obs,<http://localhost/50021>,2016-10-19 12:31:00
1808,<http://localhost/FALSIFICACION_DE_TITULOS_AL_PORTADOR_Y_DOCUMENTOS_DE_CREDITO_PUBLICO>,crime:Denuncia,<http://localhost/112035>,2016-02-26 12:00:00
2801,<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_SIN_VIOLENCIA>,crime:obs,<http://localhost/118363>,2016-02-28 10:00:00
16012,<http://localhost/ROBO_A_TRANSEUNTE_DE_CELULAR_SIN_VIOLENCIA>,crime:Denuncia,<http://localhost/74217>,2016-02-22 13:00:00
4441,<http://localhost/ROBO_DE_OBJETOS>,crime:obs,<http://localhost/129208>,2016-07-08 08:30:00
17568,<http://localhost/ROBO_DE_OBJETOS_DEL_INTERIOR_DE_UN_VEHICULO>,crime:Denuncia,<http://localhost/84408>,2016-05-04 17:30:00
7951,<http://localhost/FRAUDE>,crime:obs,<http://localhost/21945>,2016-04-26 12:00:00
16433,<http://localhost/ROBO_DE_VEHICULO_DE_SERVICIO_PARTICULAR_CON_VIOLENCIA>,crime:obs,<http://localhost/76815>,2016-01-19 05:30:00
3735,<http://localhost/DAÑO_EN_PROPIEDAD_AJENA_INTENCIONAL>,crime:obs,<http://localhost/124357>,2016-12-26 01:25:00
13241,<http://localhost/ROBO_A_NEGOCIO_SIN_VIOLENCIA>,crime:obs,<http://localhost/56284>,2016-08-27 17:35:00
6440,<http://localhost/ROBO_A_PASAJERO_/_CONDUCTOR_DE_VEHICULO_CON_VIOLENCIA>,crime:Denuncia,<http://localhost/141887>,2016-10-29 19:00:00
17448,<http://localhost/ROBO_DE_ACCESORIOS_DE_AUTO>,crime:Denuncia,<http://localhost/83587>,2016-02-12 22:45:00
11442,<http://localhost/ABUSO_SEXUAL>,crime:Denuncia,<http://localhost/44201>,2016-04-02 15:25:00
11899,<http://localhost/DENUNCIA_DE_HECHOS>,crime:obs,<http://localhost/47076>,2016-03-11 06:15:00
19231,<http://localhost/VIOLENCIA_FAMILIAR>,crime:obs,<http://localhost/9511>,2016-11-13 21:30:00
3513,<http://localhost/ABUSO_SEXUAL>,crime:obs,<http://localhost/123278>,2016-07-01 19:23:00
